epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,203.171,0.99516,0.71373,1.0161,0.92564,0.94717,0.97294,0.73821,0.88131,0.54134,0.96068,0.000713,0.000713,0.000713
67,207.027,0.93518,0.65266,0.99131,0.9453,0.90566,0.96683,0.73151,0.89537,0.57095,0.97199,0.0006932,0.0006932,0.0006932
68,210.847,0.93655,0.63826,0.98553,0.91666,0.9283,0.95676,0.73554,0.87561,0.57882,0.96618,0.0006734,0.0006734,0.0006734
69,214.689,0.98471,0.66148,0.98887,0.96035,0.96226,0.98276,0.73771,0.89901,0.54815,0.96818,0.0006536,0.0006536,0.0006536
70,218.555,0.98675,0.68523,1.01063,0.97659,0.94456,0.98672,0.75105,0.85341,0.52405,0.95494,0.0006338,0.0006338,0.0006338
71,222.323,0.96245,0.69489,0.98759,0.94972,0.90566,0.96975,0.73692,0.84461,0.54101,0.95525,0.000614,0.000614,0.000614
72,226.164,0.90345,0.64981,0.99475,0.95758,0.95472,0.98228,0.7579,0.8306,0.52504,0.94785,0.0005942,0.0005942,0.0005942
73,230.069,0.98078,0.67775,1.01037,0.9746,0.96226,0.98276,0.76354,0.83167,0.51497,0.95263,0.0005744,0.0005744,0.0005744
74,233.829,0.91096,0.62142,0.97064,0.98122,0.98584,0.99253,0.77408,0.79373,0.48725,0.93376,0.0005546,0.0005546,0.0005546
75,237.742,0.89509,0.6127,0.99881,0.97689,0.9569,0.98844,0.76748,0.85535,0.51899,0.95756,0.0005348,0.0005348,0.0005348
76,241.572,0.94974,0.64826,0.97072,0.95594,0.98242,0.99035,0.7678,0.8184,0.51995,0.95079,0.000515,0.000515,0.000515
77,245.416,0.92091,0.62513,0.97528,0.96844,0.96604,0.98184,0.7757,0.80407,0.48948,0.93193,0.0004952,0.0004952,0.0004952
78,249.304,0.89324,0.61585,0.96926,0.95841,0.97358,0.98275,0.77341,0.76287,0.49536,0.92399,0.0004754,0.0004754,0.0004754
79,253.239,0.88456,0.60176,0.96736,0.97603,0.97358,0.99092,0.7838,0.76041,0.48191,0.92442,0.0004556,0.0004556,0.0004556
80,257.189,0.86063,0.59047,0.98208,0.96393,0.97736,0.99018,0.79553,0.74229,0.47209,0.91656,0.0004358,0.0004358,0.0004358
81,261.22,0.90536,0.60491,0.98001,0.96573,0.98868,0.9904,0.79531,0.7694,0.47988,0.92108,0.000416,0.000416,0.000416
82,264.963,0.90396,0.61975,0.9899,0.97719,0.98868,0.99169,0.80002,0.75029,0.46277,0.91662,0.0003962,0.0003962,0.0003962
83,268.734,0.8544,0.60034,0.98279,0.97743,0.98868,0.99246,0.80543,0.70689,0.44897,0.91085,0.0003764,0.0003764,0.0003764
