                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.84901,                0.87925,                0.99359,                0.97915,                0.52632,                0.55909,                0.26863,                 2.3115,                 2.9534,                 2.1707,              0.0017901,              0.0017901,              0.0017901
                    108,                0.90456,                0.88954,                 1.0718,                0.90669,                0.52632,                0.54426,                0.25536,                  2.389,                 2.9387,                 2.3062,              0.0017881,              0.0017881,              0.0017881
                    109,                0.87506,                0.85843,                0.99149,                 0.7695,                0.52632,                0.48914,                0.21131,                 2.4614,                 2.9211,                 2.2764,              0.0017862,              0.0017862,              0.0017862
                    110,                0.85473,                0.86671,                0.98124,                0.78473,                0.42105,                0.44756,                0.18477,                 2.5361,                 3.0412,                 2.2485,              0.0017842,              0.0017842,              0.0017842
                    111,                0.94757,                0.81204,                 1.0207,                0.26397,                0.52632,                0.31808,                0.14966,                 2.3163,                 3.3922,                 2.0382,              0.0017822,              0.0017822,              0.0017822
                    112,                0.92592,                0.78725,                 1.0295,                0.23924,                0.52632,                0.32169,                0.14841,                 2.0955,                 3.3049,                 1.8918,              0.0017802,              0.0017802,              0.0017802
                    113,                0.95523,                0.79667,                 1.0644,                 0.2876,                0.52632,                0.33395,                0.15206,                 2.1381,                 3.0773,                 1.8922,              0.0017782,              0.0017782,              0.0017782
                    114,                0.87318,                0.85731,                  1.082,                0.30081,                0.52632,                0.34663,                0.18396,                 2.1147,                 2.9173,                 1.8312,              0.0017763,              0.0017763,              0.0017763
                    115,                0.86854,                0.87626,                  1.017,                0.79084,                0.36842,                0.42146,                0.20506,                 2.1766,                 3.1289,                 2.0417,              0.0017743,              0.0017743,              0.0017743
                    116,                0.85888,                0.86056,                 1.0113,                0.55024,                0.31579,                0.39611,                0.19434,                 2.1129,                 3.0901,                 1.9939,              0.0017723,              0.0017723,              0.0017723
                    117,                 0.8087,                0.79512,                0.99096,                0.42273,                0.38608,                0.41884,                0.23324,                  2.056,                 2.7936,                 1.9629,              0.0017703,              0.0017703,              0.0017703
                    118,                0.82562,                0.81827,                   1.03,                 0.7504,                0.42105,                 0.4677,                 0.2384,                 2.0522,                 2.7326,                 1.9792,              0.0017683,              0.0017683,              0.0017683
                    119,                0.89827,                0.80131,                 1.0606,                0.69739,                0.60726,                0.52528,                0.21988,                 2.1781,                 2.8479,                 2.0429,              0.0017664,              0.0017664,              0.0017664
                    120,                0.89797,                0.90134,                 1.0122,                0.71837,                0.63158,                0.55904,                 0.2165,                 2.2125,                 2.9711,                 2.1387,              0.0017644,              0.0017644,              0.0017644
                    121,                 0.8765,                0.87528,                 1.0014,                0.81167,                0.45483,                0.47636,                0.19668,                 2.2368,                 2.6485,                  2.098,              0.0017624,              0.0017624,              0.0017624
                    122,                0.83345,                0.86057,                 1.0039,                0.73724,                0.36842,                0.40579,                 0.1555,                 2.3243,                  2.781,                 2.1815,              0.0017604,              0.0017604,              0.0017604
                    123,                0.84399,                0.91665,                0.98021,                0.25821,                0.47368,                0.33333,                0.14122,                  2.343,                 3.1638,                 2.1246,              0.0017584,              0.0017584,              0.0017584
                    124,                0.86707,                0.81666,                 1.0179,                0.26506,                0.57895,                0.25874,                0.09043,                 2.3639,                 2.9128,                 2.2801,              0.0017565,              0.0017565,              0.0017565
                    125,                0.85936,                0.89726,                0.99839,                0.28172,                0.47368,                0.26463,                0.10991,                 2.2344,                 3.7697,                  2.321,              0.0017545,              0.0017545,              0.0017545
                    126,                0.91809,                0.74741,                 1.0512,                0.28291,                0.42105,                0.28244,                0.11021,                 2.1277,                 4.6318,                 2.2366,              0.0017525,              0.0017525,              0.0017525
                    127,                0.86044,                0.78145,                 1.0166,                0.26144,                0.41018,                0.19897,                0.08486,                 2.0021,                 5.4988,                 2.1363,              0.0017505,              0.0017505,              0.0017505
                    128,                0.88495,                 0.8766,                 1.0386,                0.22697,                0.47368,                0.17416,                0.05745,                 2.0572,                 5.3903,                 2.1949,              0.0017485,              0.0017485,              0.0017485
                    129,                0.88526,                0.80825,                0.99684,                0.17044,                0.21053,                0.12279,                0.03414,                 2.3001,                 5.9175,                 2.4659,              0.0017466,              0.0017466,              0.0017466
                    130,                0.95019,                0.93452,                  1.056,                0.19952,                0.31579,                0.20631,                 0.0608,                 2.2753,                 5.6517,                 2.4061,              0.0017446,              0.0017446,              0.0017446
                    131,                0.88986,                0.84471,                 1.0172,                0.80352,                0.42105,                0.45122,                0.18676,                 2.0501,                 4.0478,                 2.1758,              0.0017426,              0.0017426,              0.0017426
                    132,                0.76968,                0.78895,                0.99223,                 0.8766,                0.47368,                0.52381,                0.22105,                 2.0286,                 3.4481,                 2.1805,              0.0017406,              0.0017406,              0.0017406
                    133,                 0.8175,                0.75834,                  1.036,                0.86964,                0.52632,                0.54291,                0.22982,                 2.0727,                 3.0686,                 2.1294,              0.0017386,              0.0017386,              0.0017386
                    134,                0.82272,                0.80498,                 1.0513,                0.82723,                0.52632,                0.51915,                0.20805,                 2.0633,                 3.1139,                 2.1627,              0.0017367,              0.0017367,              0.0017367
                    135,                0.84719,                 0.8356,                 1.0092,                0.82358,                0.49245,                0.51035,                0.21139,                 2.0651,                 3.0685,                 2.1147,              0.0017347,              0.0017347,              0.0017347
                    136,                0.82136,                0.83291,                0.99588,                0.83289,                0.52479,                0.50159,                0.21648,                 2.0498,                 2.8866,                 2.0652,              0.0017327,              0.0017327,              0.0017327
                    137,                0.73423,                0.64139,                0.94914,                0.86469,                0.47368,                0.49319,                0.22187,                 2.0351,                 2.5937,                 2.0509,              0.0017307,              0.0017307,              0.0017307
                    138,                0.82505,                0.71265,                0.98295,                0.47222,                0.47368,                0.45704,                0.20616,                 2.0675,                 2.5736,                 2.0937,              0.0017287,              0.0017287,              0.0017287
                    139,                 0.8617,                0.82823,                 1.0113,                0.25349,                0.57895,                 0.2854,                0.11924,                 2.2698,                   2.84,                 2.3142,              0.0017268,              0.0017268,              0.0017268
                    140,                0.80983,                0.82476,                 1.0167,                0.26203,                0.52632,                0.22775,                0.08255,                  2.313,                 3.0262,                 2.3188,              0.0017248,              0.0017248,              0.0017248
                    141,                0.89618,                0.78432,                0.99207,                0.59048,                0.36842,                0.41397,                0.19496,                 2.1852,                 3.1467,                 2.1989,              0.0017228,              0.0017228,              0.0017228
                    142,                0.89298,                0.85805,                 1.0354,                0.73225,                0.42105,                0.46833,                0.19858,                 2.1674,                 3.0914,                 2.1524,              0.0017208,              0.0017208,              0.0017208
                    143,                0.84207,                 0.7954,                0.98511,                0.67948,                0.47368,                0.45399,                0.21908,                 2.0632,                 3.1796,                 2.0858,              0.0017188,              0.0017188,              0.0017188
                    144,                0.72665,                0.76427,                0.91653,                0.78174,                0.47368,                0.52044,                0.24373,                 2.1805,                 3.1382,                 2.1362,              0.0017169,              0.0017169,              0.0017169
                    145,                0.78988,                0.66961,                0.97795,                0.88868,                0.52632,                0.53299,                0.18683,                 2.3337,                 3.0882,                 2.3024,              0.0017149,              0.0017149,              0.0017149
                    146,                0.75317,                0.75594,                0.94518,                0.86928,                0.52632,                0.54985,                0.20768,                 2.2929,                 2.9946,                 2.3686,              0.0017129,              0.0017129,              0.0017129
                    147,                0.79186,                0.79577,                 1.0079,                0.78963,                0.52632,                0.57082,                0.20389,                 2.2801,                 3.1652,                 2.4032,              0.0017109,              0.0017109,              0.0017109
                    148,                0.90983,                0.74122,                0.99342,                 0.8092,                0.52632,                0.55335,                0.20384,                 2.3123,                 3.0627,                 2.4189,              0.0017089,              0.0017089,              0.0017089
                    149,                0.77848,                0.73548,                0.97342,                0.87547,                0.52632,                0.55603,                0.18765,                  2.364,                 2.8985,                 2.4091,               0.001707,               0.001707,               0.001707
                    150,                 0.7632,                  0.765,                0.96758,                0.86667,                0.52632,                0.55989,                0.20417,                 2.3965,                 2.7551,                 2.4563,               0.001705,               0.001705,               0.001705
